National Association of REALTORS®,,,,,,,,,,
Median Sales Price of Existing Single-Family Homes for Metropolitan Areas,,,,,,,,,,
,,,,,,,,,,
Metropolitan Area,2019,2020,2021,2021.III,2021.IV,2022.I,2022.II r,2022.III p,Q3-Q3,
,,,,,"(Not Seasonally Adjusted, 000s)",,,,%Chya,
"29820        Las Vegas-Henderson-Paradise, NV",306.0,331.0,397.0,411.8,428.4,461.1,485.4,463.5,12.6%,
"30460        Lexington-Fayette, KY",180.0,201.2,224.2,229.4,229.0,226.6,251.0,249.4,8.7%,
"30700        Lincoln, NE",198.4,219.8,245.1,253.9,246.7,260.8,280.8,275.8,8.6%,
"30780        Little Rock-North Little Rock-Conway, AR",152.5,166.9,184.6,187.8,191.5,193.7,210.7,211.7,12.7%,
"31084        Los Angeles-Long Beach-Glendale, CA",611.2,673.1,801.3,860.9,797.9,792.5,825.7,893.2,3.8%,
"31140        Louisville/Jefferson County, KY-IN",192.7,212.1,235.6,245.5,242.1,235.4,263.5,263.8,7.5%,
"31540        Madison, WI",299.2,326.4,361.5,364.7,356.7,373.7,410.1,397.9,9.1%,
"31700        Manchester-Nashua, NH",317.4,357.8,412.6,419.3,407.1,440.6,485.5,469.0,11.9%,
"32820        Memphis, TN-MS-AR",188.7,221.2,248.7,254.0,260.7,259.3,288.0,276.7,8.9%,
"33100        Miami-Fort Lauderdale-West Palm Beach, FL",360.0,398.0,480.0,490.0,500.0,530.0,589.0,570.0,16.3%,
"33340        Milwaukee-Waukesha-West Allis, WI",268.4,291.3,319.0,333.0,309.8,298.8,364.6,358.3,7.6%,
"33460        Minneapolis-St. Paul-Bloomington, MN-WI",288.6,315.2,354.8,362.0,352.0,355.8,387.2,381.1,5.3%,
"33660        Mobile, AL",152.6,167.1,195.9,203.3,198.9,205.4,219.5,213.3,4.9%,
"33860        Montgomery, AL",152.8,171.0,189.5,197.6,186.3,187.1,208.1,205.9,4.2%,
"34820        Myrtle Beach-Conway-North Myrtle Beach, SC-NC",234.3,250.2,294.0,308.3,321.5,342.0,367.4,373.4,21.1%,
"34940        Naples-Immokalee-Marco Island, FL",435.0,498.5,645.0,640.0,685.0,745.0,850.0,746.6,16.7%,
"34980        Nashville-Davidson--Murfreesboro--Franklin, TN",275.0,298.9,349.5,355.4,372.1,382.7,418.5,408.3,14.9%,
"35004        Nassau County-Suffolk County, NY",491.6,545.2,635.1,655.3,644.6,654.6,677.8,684.1,4.4%,
"35300        New Haven-Milford, CT",237.4,265.9,300.0,314.4,302.0,306.4,352.2,354.8,12.8%,
"35380        New Orleans-Metairie, LA",222.0,240.5,268.1,275.4,265.9,281.1,300.6,278.9,1.3%,
"35614        New York-Jersey City-White Plains, NY-NJ",386.5,442.4,535.8,563.1,544.9,553.4,597.6,616.3,9.4%,
"35620        New York-Newark-Jersey City, NY-NJ-PA",423.9,469.1,561.0,586.8,566.8,578.1,621.0,627.4,6.9%,
"35084        Newark, NJ-PA",397.1,452.0,512.3,548.1,495.0,493.1,601.2,588.3,7.3%,
"35840        North Port-Sarasota-Bradenton, FL",304.8,334.9,405.0,415.0,435.0,480.0,515.0,513.7,23.8%,
"35980        Norwich-New London, CT",234.9,263.5,296.0,308.7,299.1,301.6,332.8,340.7,10.4%,
"36100        Ocala, FL",170.6,185.0,230.0,240.0,250.0,267.4,285.0,285.0,18.8%,
"36260        Ogden-Clearfield, UT",296.5,340.5,417.8,440.2,444.2,473.8,518.7,479.2,8.9%,
"36420        Oklahoma City, OK",158.9,174.9,194.2,198.5,201.5,198.2,231.9,235.3,18.5%,
"36540        Omaha-Council Bluffs, NE-IA",200.7,220.6,242.0,244.3,242.0,251.9,281.3,278.5,14.0%,
"36740        Orlando-Kissimmee-Sanford, FL",276.0,301.6,356.9,365.0,380.0,399.9,430.0,425.0,16.4%,
